word_length,raw_corr,transformed_corr,p-value
3,0.013263202227841839,0.013263980031106713,0.016146147631374844
3,-0.0018346319461131412,-0.0018346340044975182,0.7393309298133173
3,0.0027396170244496994,0.0027396238785470733,0.6192783570777212
3,-0.011892667276266002,-0.011893228005770393,0.031005848633433072
3,-0.00015673093001651313,-0.00015673093129985654,0.9773227005345885
3,-0.00016396507616616308,-0.00016396507763553864,0.9762762981750394
3,0.006266804604339892,0.006266886644677814,0.25570793767167765
3,-0.0021356069967312704,-0.002135610243444561,0.6985147325629623
3,0.008558312347559442,0.00855852130711197,0.12061142703335354
3,0.008376774540429031,0.008376970482417229,0.12869056354186778
3,-0.005297194632599047,-0.005297244180338844,0.33668497457696417
3,0.01144210873154044,0.011442608111458369,0.03796119896538102
3,-0.00636121989474474,-0.006361305699333724,0.2486156090162301
3,0.006315617271844593,0.006315701244241601,0.25202384320171245
3,0.014534832753460514,0.014535856432748961,0.008382580250238797
3,-0.009913634444197107,-0.009913959234502698,0.07217115069991298
3,0.007411558252308987,0.007411693965367611,0.17887707484680762
3,0.007970513032841542,0.007970681825723615,0.1482893539741459
3,0.0009004068684497031,0.0009004071117795339,0.8702799408027743
3,0.01379832616765221,0.013799201972977161,0.012326335171191513
3,0.0030273605814583283,0.0030273698300070503,0.5829639410749868
3,-0.0059786462163796735,-0.005978717451903883,0.2782181699462825
3,0.013923548230228957,0.013924448098702247,0.01155746204141745
3,-0.00529458317262914,-0.005294632647124728,0.33692323756410136
3,0.0001398488056130161,0.00013984880652472258,0.979764809122351
3,-0.011657737344301783,-0.011658265493906316,0.03448239912332207
3,-0.0026178151567282544,-0.002617821136677041,0.6349419590474046
3,0.0017190403251743968,0.0017190420184892141,0.7552114480068695
3,0.008399085340569181,0.008399282852397945,0.12767554962913016
3,0.010972446747937264,0.010972887120816004,0.04658158741574449
3,-0.0010532796311318428,-0.0010532800206342011,0.8485030288445828
3,-0.0071508205080933526,-0.007150942395742526,0.19465533888038153
3,-0.00030356034872472664,-0.0003035603580489764,0.9560943102812126
3,-0.0007828032233837944,-0.000782803383279471,0.8871008274963141
