word1,word2,cos_dist,edit_dist
cup,men,0.5098994785460116,3
cup,art,0.5042562599517839,3
cup,air,0.5170973014392362,3
cup,you,0.500831863056177,3
cup,law,0.4953958661322544,3
cup,man,0.49395050379850425,3
cup,win,0.49493999499252583,3
cup,san,0.4868349244115844,3
cup,red,0.5171246737089906,3
cup,jpg,0.48305966032964565,3
cup,non,0.48200792133894255,3
cup,act,0.4315323582992062,3
cup,run,0.4928868256208546,2
cup,per,0.5200601894171164,3
cup,how,0.4885358865610996,3
cup,few,0.5044427160165211,3
cup,sea,0.4456729901255071,3
cup,big,0.5037544158239556,3
cup,los,0.5335579478858349,3
cup,car,0.5001491230002764,2
cup,van,0.47114009455692885,3
cup,bay,0.5145524131320256,3
cup,low,0.5278356958399325,3
cup,ten,0.5216358668207969,3
cup,get,0.5072096850162949,3
cup,lee,0.4503073702652842,3
cup,don,0.530963881182977,3
cup,via,0.47310873837926304,3
cup,sir,0.5129190822841453,3
cup,mid,0.5389406087815283,3
cup,iii,0.5628323379679273,3
cup,bar,0.5183547856065729,3
cup,com,0.49124346781287986,2
cup,our,0.5105412089609003,2
cup,saw,0.5086672506482413,3
cup,put,0.5383961907390971,2
cup,too,0.4946982277035543,3
cup,far,0.5078132615944941,3
cup,hit,0.49643951671244824,3
cup,tom,0.5252103877055226,3
cup,joe,0.47405319985374084,3
cup,met,0.491241617015594,3
cup,key,0.5049343763514476,3
cup,god,0.5130147642205576,3
cup,del,0.44047568109358126,3
cup,era,0.4747455915252923,3
cup,ice,0.48736257971830577,3
cup,ran,0.49262897254675175,3
cup,sun,0.5022392571427812,2
cup,oil,0.515593532665175,3
cup,von,0.4642259830116672,3
cup,pre,0.5348513865914827,3
cup,pro,0.5279881802986821,3
cup,hot,0.47919353185095226,3
cup,got,0.5402347039922033,3
cup,des,0.5362866770802239,3
cup,pop,0.5079629411872102,2
cup,bbc,0.5104972879060777,3
cup,der,0.46552152895832444,3
cup,usa,0.5460933102216652,3
cup,boy,0.516649411395204,3
cup,vol,0.5338060032475456,3
cup,bob,0.4942185435035734,3
cup,cut,0.5122190169777108,1
cup,jim,0.5181878298043214,3
cup,map,0.5077919713191883,2
cup,box,0.5262571966613285,3
